"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",12.6740796763582,0.778788735118075,16.2740921957951,2.30979551283644e-59
"p6800",0.0147479741429014,0.00294163747184487,5.01352538647535,5.36628983879876e-07
"p6850",0.0116033604389515,0.00285419658530462,4.06536834172307,4.80455835547229e-05
"rama2d_r401",-0.704963140442482,0.777650348237082,-0.906529704565323,0.364660848568351
"rama2d_r402",-0.783358156222268,0.803447678399874,-0.97499585509088,0.329568037355746
"rama2d_r403",-0.54031045621901,0.782386087667195,-0.690593128809369,0.489825155096099
"rama2d_r405",0.26352357119668,0.795383896567043,0.331316201313698,0.74040733904693
"rama2d_r406",0.539874639020646,0.801796732302913,0.673331054206249,0.500740475461727
"rama2d_r407",-0.667506059356137,0.78471635489432,-0.850633550827461,0.39497788680646
"rama2d_r408",-1.23953200510201,0.793632881966045,-1.56184557528836,0.118332048830103
"rama2d_r409",0.557344486134381,0.824527126535923,0.67595651883031,0.499072044030096
"rama2d_r410",0.00704124400521718,0.778727653130897,0.00904198531657076,0.992785681577095
"rama2d_r411",0.18794083403206,0.788093630157826,0.238475260857548,0.811513686299038
"rama2d_r412",0.0170895030134793,1.09937105332944,0.0155447998760053,0.987597618899441
"rama2d_r413",-0.715180110188281,0.792569133786261,-0.902356753122245,0.366872658989497
"rama2d_r414",-0.308519532242085,0.779327747451093,-0.395879055058855,0.692196301953836
"rama2d_r415",-0.463146580152219,0.781433046458022,-0.592688755935662,0.553392718948557
"rama2d_r416",-0.585175084917109,0.790230991665201,-0.740511434111194,0.458993943520337
"rama2d_r417",0.270172368118609,0.79906880919159,0.338109015157205,0.735282758930069
"rama2d_r418",-0.140351214591985,0.797222261905757,-0.176050295254521,0.860255294349747
"rama2d_r419",0.336906477247283,0.843181237200553,0.399565908707654,0.689478340381945
"rama2d_r420",0.292727466309124,0.788294834874879,0.371342616186984,0.710384268788293
"rama2d_r421",0.1052470203118,0.802319222844437,0.131178485215237,0.895634755340666
"rama2d_r422",0.0281614115707843,0.787190415205352,0.0357745864619527,0.971462270378962
"rama2d_r423",0.0786610911638318,0.78526473567195,0.100171429570846,0.920208714940051
"rama2d_r424",0.283373794345679,0.802864980006615,0.352953237969533,0.724125302535148
"rama2d_r425",-0.0473832143057205,0.780231512946825,-0.0607296853811515,0.951574784198369
"rama2d_r426",0.489273944869552,0.886343173880242,0.552014117429938,0.580941673593995
